,PPO,MinVariance,DJIA
2021-02-10,1247321.2659466413,1142298.0575453457,1221598.4678557457
2021-02-11,1248323.6734964754,1141214.3085364252,1221322.5179593216
2021-02-12,1249465.299807466,1142599.8879150788,1222398.9198792833
2021-02-16,1251890.2124594988,1138430.4417122505,1224899.3932669288
2021-02-17,1257120.900998514,1149963.356482929,1228407.0534189972
2021-02-18,1252731.877502257,1146694.867026295,1223756.5842624316
2021-02-19,1251372.2370694417,1133185.1342056026,1223794.6829555025
2021-02-22,1251614.1812176646,1129912.921360746,1224858.1829276113
2021-02-23,1253047.9142567932,1127451.8280441398,1225466.699503389
2021-02-24,1267146.8454771107,1128820.8087570872,1241962.1434081863
2021-02-25,1247405.6982808735,1121767.104772165,1220207.713771046
2021-02-26,1228507.7294443487,1099007.2798383909,1201958.591577836
2021-03-01,1251980.1329470635,1108351.7798412286,1225395.2075335232
2021-03-02,1245558.573663305,1106340.3259940287,1219800.0881127145
2021-03-03,1240899.74952027,1098500.5717354296,1215081.6181015847
2021-03-04,1227798.5032789847,1089101.2534901295,1201638.8509525242
2021-03-05,1252847.9585557333,1109345.2691474243,1223871.6392797527
2021-03-08,1262968.878630307,1118623.2126725584,1235767.4628812857
2021-03-09,1265407.609574942,1115885.3337318006,1236944.8794635523
2021-03-10,1281957.162377466,1130847.1183760278,1254985.6731458479
2021-03-11,1286943.9550490412,1128208.7172814074,1262313.0688003958
2021-03-12,1296363.8609248125,1131542.3613959218,1273700.3279751039
2021-03-15,1305577.7791563596,1148340.394689242,1280493.4312009322
2021-03-16,1301662.927048534,1150735.949776058,1275538.627862667
2021-03-17,1307951.0129192478,1155151.1925519197,1282899.1132187666
2021-03-18,1300517.5146091536,1151398.5756388167,1276951.1634710946
2021-03-19,1294335.2089170038,1147637.7362968079,1267845.6517210251
2021-03-22,1301297.591047263,1155855.5676171887,1271856.8673083994
2021-03-23,1291380.0607421978,1154481.8111494114,1259886.8195598084
2021-03-24,1290667.6598043279,1155589.1372314752,1259766.7555509682
2021-03-25,1298842.4852587248,1157877.707400405,1267515.741325053
2021-03-26,1319354.0906860072,1175474.9398203318,1285133.7305868375
2021-03-29,1323385.4494708623,1184982.5015393412,1288960.903682785
2021-03-30,1316776.9526088708,1174176.3826165844,1284903.7723398176
2021-03-31,1313241.9091807364,1171569.2172704479,1281584.9359892625
2021-04-01,1318856.8894911625,1172884.4873137602,1288255.2430290587
2021-04-05,1334469.7202107518,1188532.0929467971,1302787.2381521224
2021-04-06,1330925.683642676,1188437.8564700736,1299019.869379162
2021-04-07,1332775.7987998337,1188753.0769222793,1299642.5022037665
2021-04-08,1333721.5760182159,1184802.8710278964,1301869.3784031258
2021-04-09,1344555.4388525984,1189931.8364573424,1313411.3091644433
2021-04-12,1340472.8624455146,1189857.3651957898,1311266.2464932317
2021-04-13,1337329.4308848346,1185829.106312849,1308618.9185814993
2021-04-14,1338248.5358672244,1184942.3098961255,1310702.5072658837
2021-04-15,1348595.6752504339,1194645.7688544865,1322557.8794662084
2021-04-16,1355974.0592250288,1202333.9303253768,1328957.093813478
2021-04-19,1351522.4311356375,1200495.907379251,1324175.935514547
2021-04-20,1342865.3602754653,1205617.396834188,1314215.6317723368
2021-04-21,1354313.4950502126,1209418.8488295595,1326494.946800336
2021-04-22,1341486.047661016,1198819.4229303098,1314005.7094913938
2021-04-23,1347003.205202376,1201427.8325834821,1322849.3117000554
2021-04-26,1343670.6026527968,1190833.6506372069,1320443.3261069776
2021-04-27,1342717.725379193,1187494.1319824615,1320573.8634617217
2021-04-28,1337196.2178490583,1176565.0228369008,1314179.809893593
2021-04-29,1346035.883815661,1182729.2216049894,1323504.8824385896
2021-04-30,1338752.7725988952,1184769.172150652,1316296.488279529
2021-05-03,1348543.5141441568,1196736.726735822,1325559.3278995894
2021-05-04,1347551.0046166289,1196574.0993214129,1326328.73935447
2021-05-05,1352016.7875889977,1200115.8981733816,1330109.9208010137
2021-05-06,1365003.7912052977,1208930.5945906166,1342474.0851095964
2021-05-07,1374206.616400573,1212762.8597387811,1351381.438119412
2021-05-10,1373492.631620434,1219678.9452133311,1350023.697842453
2021-05-11,1355430.5646135118,1207690.653028186,1331618.3861864158
2021-05-12,1331396.123747891,1190993.1809952043,1305136.9105375141
2021-05-13,1348014.8352556904,1204280.1260577436,1321992.9259378861
2021-05-14,1361694.5566356461,1210398.353029539,1336008.0842087367
2021-05-17,1359690.3434757232,1210656.675687273,1333896.566601942
2021-05-18,1349214.186348944,1206636.1403359487,1323516.5700854678
2021-05-19,1343749.8499496568,1203551.580208482,1317119.784340147
2021-05-20,1352414.551517844,1210612.2540856174,1324429.2690553232
2021-05-21,1355179.6071806364,1208344.0622612042,1329235.6240994725
2021-05-24,1363535.2236932712,1210821.3880410194,1336468.6078532638
2021-05-25,1359613.9839780172,1206149.499462454,1333300.951974017
2021-05-26,1360507.9269033512,1205172.6872773515,1333712.4482167042
2021-05-27,1364219.2758395923,1201558.513396182,1339214.2941439198
2021-05-28,1366608.3675670752,1204812.5784565478,1341732.6025771261
2021-06-01,1366792.2761425055,1195175.2402026423,1343514.5892570033
2021-06-02,1369532.6569786845,1198439.3685780712,1344488.7622136858
2021-06-03,1368808.518437677,1202593.726733733,1343581.8311734586
2021-06-04,1377135.825703327,1208423.9102796933,1350551.0080405697
2021-06-07,1372056.7913343718,1202351.2418123998,1345649.0267946895
2021-06-08,1370810.6748544662,1197570.684886851,1344467.0565837692
2021-06-09,1366510.37380612,1198947.9238533797,1338534.2855982766
2021-06-10,1369179.7691692107,1210120.6267470063,1339276.375281234
2021-06-11,1369931.127655833,1210551.527671876,1339795.640735396
2021-06-14,1367885.9872461483,1208541.9967356282,1336459.6523835778
2021-06-15,1364594.952493124,1204402.555961372,1332790.641989541
2021-06-16,1355109.3034068893,1195912.2839126154,1322467.8694064838
2021-06-17,1347392.8725111173,1195658.0495227438,1314299.1149643243
2021-06-18,1325466.352807693,1177933.1490008896,1293573.5777215236
2021-06-21,1347356.1637500478,1191293.5710993852,1316378.7571705421
2021-06-22,1349384.7481271396,1193394.7569397758,1319044.7549597556
2021-06-23,1345580.7602941664,1187098.4025898757,1316272.657622907
2021-06-24,1357412.4720983976,1193124.7938445448,1328807.431218388
2021-06-25,1370297.0288329101,1211486.410045384,1338017.4487460635
2021-06-28,1365194.2637960806,1210727.482993438,1332166.6430763404
