train/reward_max,train/reward_min,train/reward,time/time_elapsed,train/reward_mean,time/fps,time/total_timesteps,time/iterations,train/value_loss,train/explained_variance,train/entropy_loss,train/clip_fraction,train/loss,train/n_updates,train/approx_kl,train/std,train/policy_gradient_loss,train/learning_rate,train/clip_range
50.424942,-85.17242,4.4970894,158,0.15656035,194,30720,15,87.1410502910614,0.0007526874542236328,-43.26070585250854,0.1513671875,43.935577392578125,140,0.020420037,1.0237213373184204,-0.011373806967458221,0.00025,0.2
57.251255,-96.78579,-0.07351239,168,0.24618937,194,32768,16,142.57456073760986,0.02665722370147705,-43.267702555656435,0.13681640625,80.24652099609375,150,0.013526918,1.0236166715621948,-0.014449626934947446,0.00025,0.2
51.5405,-92.81106,0.7702882,178,0.23942131,194,34816,17,183.23172569274902,0.014989376068115234,-43.27466578483582,0.051123046875,178.9846649169922,160,0.011116069,1.0242469310760498,-0.008195941663143459,0.00025,0.2
17.536882,-16.56622,0.36427134,188,0.2367646,195,36864,18,155.47646057605743,0.02557659149169922,-43.293346118927005,0.168359375,71.10928344726562,170,0.017004387,1.0251359939575195,-0.011966874758945778,0.00025,0.2
74.41768,-134.62874,-0.041176952,199,0.27558687,195,38912,19,40.207108998298644,0.13310307264328003,-43.3294802904129,0.22705078125,26.187294006347656,180,0.023662116,1.026471734046936,-0.008153695895452983,0.00025,0.2
63.80629,-114.97209,-0.26735994,210,0.314537,195,40960,20,384.11576824188234,0.033270418643951416,-43.355976176261905,0.1544921875,148.13308715820312,190,0.01322807,1.0269707441329956,-0.01316348327382002,0.00025,0.2
21.177359,-23.415995,-14.7592325,220,0.17620906,194,43008,21,277.58384189605715,0.0633399486541748,-43.384478425979616,0.140869140625,101.36460876464844,200,0.016053982,1.0286957025527954,-0.01381725926330546,0.00025,0.2
44.23893,-81.79259,2.8361797,231,0.21059966,194,45056,22,54.77209953069687,0.29932212829589844,-43.429694175720215,0.182275390625,29.62500762939453,210,0.02725066,1.0299068689346313,-0.010932511117425747,0.00025,0.2
59.734455,-106.89218,2.3264635,242,0.32226118,194,47104,23,122.6101221203804,0.19999349117279053,-43.47056934833527,0.161328125,100.65961456298828,220,0.019269835,1.0315686464309692,-0.012213980451633688,0.00025,0.2
74.832054,-133.91757,1.3591505,252,0.3407445,194,49152,24,263.7351324558258,0.12287521362304688,-43.518435978889464,0.208251953125,192.14520263671875,230,0.027396796,1.032814621925354,-0.012738407292636112,0.00025,0.2
35.96463,-64.52248,-0.3484931,263,0.15062387,194,51200,25,360.1505988121033,0.018126964569091797,-43.539354467391966,0.049609375,286.0299072265625,240,0.011388451,1.0331002473831177,-0.008072813096805475,0.00025,0.2
53.116055,-94.2874,1.2994967,274,0.2048371,194,53248,26,28.838866913318633,0.16727614402770996,-43.561980080604556,0.20009765625,15.363201141357422,250,0.021090563,1.0345046520233154,-0.01344833077455405,0.00025,0.2
60.669945,-98.691795,-1.7628696,284,0.2759568,194,55296,27,169.2338722229004,0.11349189281463623,-43.59126505851746,0.093603515625,76.95045471191406,260,0.011825537,1.0351104736328125,-0.011554180466919205,0.00025,0.2
12.778878,-21.004942,-1.5242889,294,0.1704688,194,57344,28,248.12281756401063,0.047101736068725586,-43.61248390674591,0.123779296875,49.838104248046875,270,0.017669996,1.0359870195388794,-0.012683814774936764,0.00025,0.2
48.933327,-81.05189,-0.5448547,305,0.13837121,194,59392,29,31.038262009620667,0.2732560634613037,-43.63415520191192,0.171630859375,13.758286476135254,280,0.015001588,1.03662109375,-0.013978836536989548,0.00025,0.2
48.397602,-67.387024,0.96882874,315,0.13440405,194,61440,30,139.05139491558074,0.1318637728691101,-43.66057450771332,0.125390625,38.48242950439453,290,0.011690618,1.037630558013916,-0.012897983909351752,0.00025,0.2
18.724428,-18.607681,-1.2570341,326,0.16972172,194,63488,31,166.5828251838684,0.03179347515106201,-43.68213305473328,0.113671875,94.53470611572266,300,0.016164264,1.0386497974395752,-0.009087026698398403,0.00025,0.2
42.20525,-70.6229,-1.7616758,338,0.11564956,193,65536,32,52.35403575897217,0.10968410968780518,-43.71150691509247,0.19765625,30.145706176757812,310,0.036490235,1.0396263599395752,-0.008853726708912291,0.00025,0.2
46.09564,-73.14869,-0.8060285,349,0.16290759,193,67584,33,84.54086910486221,0.17383348941802979,-43.747327709198,0.157568359375,57.430755615234375,320,0.02247471,1.0411235094070435,-0.015384065540274605,0.00025,0.2
42.647785,-65.170006,0.71826595,359,0.18973057,193,69632,34,116.28290963172913,0.15726029872894287,-43.793267893791196,0.194873046875,41.81126022338867,330,0.022005666,1.0423568487167358,-0.012066987398429773,0.00025,0.2
8.43033,-11.011106,-2.0685065,370,0.10946442,193,71680,35,102.34367578029632,0.04193282127380371,-43.82124528884888,0.171875,29.07563591003418,340,0.0150063615,1.0431187152862549,-0.015283097472274677,0.00025,0.2
38.813866,-44.0181,-4.063911,380,0.0721174,193,73728,36,31.606599426269533,-0.009265542030334473,-43.84880123138428,0.22275390625,13.097729682922363,350,0.02525323,1.0445640087127686,-0.012042065279092639,0.00025,0.2
36.49035,-59.964455,-0.16760287,391,0.13249455,193,75776,37,96.4084046125412,0.059439003467559814,-43.88494849205017,0.2283203125,20.97725486755371,360,0.018247599,1.0454305410385132,-0.011957808112492785,0.00025,0.2
16.036963,-18.253988,-8.47092,401,0.124304704,193,77824,38,116.35022101402282,0.030295729637145996,-43.906289076805116,0.2345703125,84.9665298461914,370,0.030545447,1.0463004112243652,-0.008398631667660084,0.00025,0.2
40.367947,-59.156242,-2.158708,412,0.07995438,193,79872,39,50.31752507686615,0.03411245346069336,-43.938826775550844,0.22138671875,25.352298736572266,380,0.024637068,1.047421932220459,-0.011258881537651177,0.00025,0.2
30.593342,-39.05434,-0.29862702,422,0.09018471,193,81920,40,91.37392694950104,0.007035017013549805,-43.9749614238739,0.228662109375,52.687583923339844,390,0.023030326,1.048938274383545,-0.0156640914385207,0.00025,0.2
49.313194,-63.10428,0.39676604,433,0.17436272,193,83968,41,61.36325707435608,0.03606545925140381,-44.006239604949954,0.161181640625,20.60144805908203,400,0.014960214,1.0493509769439697,-0.01572954300791025,0.00025,0.2
9.631971,-11.319861,0.48348585,444,0.12083654,193,86016,42,140.8748715400696,0.012542903423309326,-44.028643417358396,0.2939453125,40.13468933105469,410,0.028762963,1.0509912967681885,-0.01076851985999383,0.00025,0.2
56.504948,-73.174225,-1.979669,456,0.17479372,193,88064,43,24.940097814798357,0.30147784948349,-44.07524170875549,0.23447265625,17.833637237548828,420,0.023345696,1.0525591373443604,-0.01852328950772062,0.00025,0.2
48.04786,-70.4909,0.07306051,466,0.20553225,193,90112,44,142.24869389533995,0.03686928749084473,-44.10468957424164,0.264453125,74.39995574951172,430,0.035568178,1.0533064603805542,-0.000855285776196979,0.00025,0.2
17.038391,-19.194832,-3.8234653,477,0.16319852,193,92160,45,122.65188903808594,0.0844162106513977,-44.15305655002594,0.3068359375,64.87017822265625,440,0.038780898,1.0562580823898315,-0.007674883883737493,0.00025,0.2
48.24225,-79.58868,-6.0058064,487,0.18706466,193,94208,46,31.308767890930177,0.1727249026298523,-44.25711193084717,0.350244140625,17.640695571899414,450,0.028683532,1.0593105554580688,-0.011715755064506084,0.00025,0.2
57.74429,-89.94067,1.4936768,498,0.26186174,193,96256,47,115.9479406118393,0.1486300230026245,-44.324492764472964,0.31630859375,63.096134185791016,460,0.027132917,1.0618230104446411,-0.008600608468987048,0.00025,0.2
62.856136,-89.50191,18.20734,508,0.2532365,193,98304,48,198.54022698402406,0.12427109479904175,-44.39688365459442,0.3119140625,48.31925582885742,470,0.036771562,1.0653077363967896,-0.006646986911073327,0.00025,0.2
28.982244,-43.92279,-1.2787863,519,0.18370369,193,100352,49,166.1437614440918,0.09443098306655884,-44.49410429000854,0.368896484375,115.28399658203125,480,0.048746455,1.0686039924621582,-0.0006738740485161543,0.00025,0.2
58.48653,-76.784966,-0.1830447,530,0.21684574,192,102400,50,38.751083427667616,0.32180529832839966,-44.571039485931394,0.207763671875,19.506929397583008,490,0.023425305,1.0701279640197754,-0.015430837598978541,0.00025,0.2
53.94712,-87.815056,-0.5133081,541,0.28073958,192,104448,51,139.28208949565888,0.07363539934158325,-44.60405352115631,0.191015625,55.31526565551758,500,0.032114245,1.0707805156707764,-0.010554743325337767,0.00025,0.2
14.358101,-17.054665,2.8317719,551,0.14694014,193,106496,52,189.57817497253419,0.045866429805755615,-44.67134256362915,0.33046875,63.34037399291992,510,0.024878766,1.0741063356399536,-0.0022084178257500754,0.00025,0.2
51.50714,-79.646324,1.0104451,562,0.23822793,193,108544,53,27.265692508220674,0.447185754776001,-44.7180718421936,0.319384765625,14.416396141052246,520,0.0276047,1.0751341581344604,-0.007499955990351736,0.00025,0.2
60.163593,-92.22967,1.3329343,573,0.26367328,192,110592,54,170.3392656803131,0.19571512937545776,-44.74608781337738,0.191796875,106.10907745361328,530,0.023565615,1.076501488685608,-0.00950093125575222,0.00025,0.2
34.54338,-32.011677,4.35704,583,0.24756844,193,112640,55,213.8482771873474,0.16495609283447266,-44.77930865287781,0.228271484375,91.84893035888672,540,0.029279912,1.0770293474197388,-0.0075522945990087464,0.00025,0.2
67.35583,-111.63827,2.319342,594,0.20892917,192,114688,56,104.88287127017975,0.1730777621269226,-44.79784560203552,0.25556640625,44.867122650146484,550,0.037917994,1.078223705291748,-0.004780908458633349,0.00025,0.2
