,PPO,MVO,DJIA
2020-08-19,1013623.9702638633,1153919.8564185803,1076079.2846561102
2020-08-20,1009752.8758962486,1167228.0455833613,1077897.7741888477
2020-08-21,1011227.0342229661,1193548.7645563856,1085304.0909753256
2020-08-24,1008970.9978631409,1202271.3482021014,1100000.0
2020-08-25,1019252.0660876397,1204525.2198211167,1097664.6742034196
2020-08-26,1020607.005781575,1243142.743521938,1100909.282713231
2020-08-27,1029360.2298731735,1239285.766482363,1107142.0548377696
2020-08-28,1035985.0351780289,1239428.7083786917,1113421.425709151
2020-08-31,1030289.8704598434,1252144.2117504196,1104721.196813678
2020-09-01,1032758.8974263656,1279572.1871791857,1113102.7479599766
2020-09-02,1052789.9958683364,1275233.3123080526,1130775.2088595298
2020-09-03,1027947.9219972047,1205189.8728431154,1099386.0197687976
2020-09-04,1018092.2071775482,1190761.2971373252,1093192.1811249272
2020-09-08,992425.5911725167,1142279.1746403791,1068618.627962891
2020-09-09,1009592.4464260644,1178744.1544504429,1085700.4080046627
2020-09-10,988140.3204243287,1151292.5916316414,1069928.098285409
2020-09-11,985466.8702197655,1144132.8717930582,1075018.4421750535
2020-09-14,1004082.9121327103,1170098.536637031,1087752.1189527882
2020-09-15,1003944.4250784233,1177692.3566514708,1087841.4458665242
2020-09-16,1001997.7916875465,1158430.272849095,1089271.4354235479
2020-09-17,996221.8993316925,1145723.1246521457,1084204.3909073246
2020-09-18,996741.3922275589,1125464.276048208,1074699.8403196037
2020-09-21,977036.9713035362,1129985.1730190462,1054894.082718088
2020-09-22,972590.240672593,1140231.6942736222,1060353.5736836994
2020-09-23,954208.095254567,1103421.2660441594,1039949.4699582282
2020-09-24,955728.9826928185,1108963.8766476659,1041981.7521128814
2020-09-25,982220.61912016,1137602.919408016,1055916.0676122012
2020-09-28,991139.845170079,1156570.6390473838,1055916.0676122012
2020-09-29,990312.8792636155,1152431.322105554,1066745.6467359627
2020-09-30,1010021.5608620918,1170754.9344091117,1079529.7928404897
2020-10-01,1014452.4679568261,1179317.2242929107,1079529.7928404897
2020-10-02,1004740.463584069,1159166.6747182908,1075686.8382067224
2020-10-05,1023666.2462187012,1183041.1287654487,1093786.6566689333
2020-10-06,1010808.116807023,1158838.0736893322,1079184.021031669
2020-10-07,1037358.5074869812,1183145.6048580548,1099805.7120652806
2020-10-08,1039098.9544416665,1184417.9473722894,1104546.3376724306
2020-10-09,1054964.0322083824,1203042.474793606,1110817.967383913
2020-10-12,1065658.9540713928,1237216.539917152,1120555.663493297
2020-10-13,1066058.3722954758,1225886.832157642,1114427.8523897415
2020-10-14,1044273.3240167397,1214586.7577036954,1107985.2341169615
2020-10-15,1046266.3321156662,1210186.9249476928,1107215.8235379832
2020-10-16,1055947.401592591,1206801.7990881796,1111571.8197493686
2020-10-19,1037475.3368404206,1182913.1561280852,1095605.2220953954
2020-10-20,1038380.003456231,1191816.2187285717,1100011.687633573
2020-10-21,1036653.0382310303,1187385.1321143743,1096203.6441130757
2020-10-22,1041588.2012891015,1179036.0213476084,1102144.9084418106
2020-10-23,1047030.1300335396,1180721.0270425645,1101053.0254274337
2020-10-26,1020753.9422537774,1162334.4609566783,1075787.8527540315
2020-10-27,1020550.1218572892,1170531.6844569545,1067153.6513988732
2020-10-28,980437.2175971344,1121584.848595411,1067153.6513988732
2020-10-29,975421.2355218629,1139234.0925613602,1035908.2809160675
2020-10-30,972433.7404015206,1105802.0067542489,1029788.210972411
2020-11-02,987024.3210720567,1114400.748402813,1046244.3990431319
2020-11-03,1010665.1180202148,1137025.9704009446,1067806.4892170196
2020-11-04,1082190.656123925,1188928.1414557684,1082094.3935787836
2020-11-05,1095625.0491695146,1216965.3435983078,1103174.634495823
2020-11-06,1083437.4278269394,1212389.8604013743,1100578.9932242082
2020-11-09,1095034.5176892823,1200734.5915445397,1133009.5201088013
2020-11-10,1091188.4719230966,1199049.3994552537,1143225.1948950845
2020-11-11,1095596.4613884706,1218313.8698088569,1142319.7827618031
2020-11-12,1093346.4048423776,1211757.111250541,1129986.3694870798
2020-11-13,1100735.78843657,1215270.445376382,1145513.9219448222
2020-11-16,1108055.7973245515,1224082.073893635,1163800.2871818535
2020-11-17,1100572.2150071724,1212912.6019122687,1157311.0701622304
2020-11-18,1084218.9941360215,1199088.2900909986,1143905.2026666019
2020-11-19,1079076.1173795364,1202440.9785971013,1143905.2026666019
2020-11-20,1068591.4807651031,1188805.1190821356,1137108.9955313776
2020-11-23,1071422.403085576,1178759.040239219,1149846.5428890616
2020-11-24,1082746.555210797,1189743.8936732789,1167522.7984748397
2020-11-25,1067735.2148701372,1186931.6650297423,1160773.2659801827
2020-11-27,1076305.5242754526,1194010.0141425512,1162245.9837040994
2020-11-30,1069390.5549127816,1202972.0760956334,1151684.461215271
2020-12-01,1079613.1416446427,1218921.566572075,1151684.461215271
2020-12-02,1077003.176898072,1209801.6952184828,1161212.3870701378
2020-12-03,1079919.8034711655,1205559.4925977585,1164542.451913736
2020-12-04,1089899.6675487985,1206118.1765210542,1174210.2499028558
2020-12-07,1084479.823522809,1211008.442546885,1168439.898241694
