,PPO,MinVariance,DJIA
2018-05-02,1559581.1887568897,1312210.5285026543,1341613.5013987746
2018-05-03,1558734.1780709918,1311310.8164651324,1341903.4091375808
2018-05-04,1579424.3885006176,1330322.1702305106,1360540.7420039074
2018-05-07,1583185.0523698502,1328594.6457024645,1365857.3235546697
2018-05-08,1582666.920538377,1324952.0275901598,1366019.4177947275
2018-05-09,1591862.1780638164,1330247.0337682408,1376243.6215095113
2018-05-10,1605681.6547389163,1342255.6317837061,1387290.015400048
2018-05-11,1614235.2743685145,1350795.8740272103,1392428.8409024223
2018-05-14,1615690.7018929296,1347639.9497487138,1396255.4697222745
2018-05-15,1603986.8582938488,1342420.862016399,1385432.8315968988
2018-05-16,1611107.0875213675,1349537.4135638175,1388938.6671538255
2018-05-17,1606229.5846670545,1347209.272776032,1385857.343268834
2018-05-18,1604773.9497609704,1344296.370761009,1385919.552409613
2018-05-21,1619054.4024018948,1351263.9439238363,1402641.3256417424
2018-05-22,1612776.736132214,1347019.1834583965,1392610.5397836766
2018-05-23,1617657.6513587022,1351927.0639550071,1395548.9359772657
2018-05-24,1613227.8208059291,1348293.9885225995,1391340.399985061
2018-05-25,1610431.066706587,1345925.1637705849,1388050.4345275627
2018-05-29,1588376.672513196,1331166.5378771848,1366088.855462428
2018-05-30,1609292.4593226395,1349162.3315080989,1383266.573506288
2018-05-31,1593472.114682539,1335618.5891885823,1369138.8557307597
2018-06-01,1610012.5499654112,1344508.5517975239,1381440.275227258
2018-06-04,1622082.2133832572,1355349.0722022299,1391448.6088426132
2018-06-05,1619452.89888234,1352544.6639383384,1390679.8659568254
2018-06-06,1637999.0403400778,1364234.1615859228,1410105.1082575952
2018-06-07,1643871.7970506372,1378524.8143985616,1415433.4087838212
2018-06-08,1648564.9006864787,1386445.47681558,1419645.7780857568
2018-06-11,1648664.9706400046,1385580.599816777,1419969.9665658725
2018-06-12,1649630.3974206876,1386762.6443679677,1419881.3623495165
2018-06-13,1643863.4997054413,1384484.22782485,1413178.5464768542
2018-06-14,1644619.7277244935,1384824.8880557646,1411726.81732012
2018-06-15,1641784.6879453945,1387369.3664435325,1406969.8989900982
2018-06-18,1632079.0635253005,1376866.7452650669,1401193.5393178745
2018-06-19,1621448.6792271512,1373672.0438939568,1385085.2051658558
2018-06-20,1618080.8879288256,1366963.919133736,1382707.0198086828
2018-06-21,1606470.6396041026,1357559.2062607794,1371710.4589446506
2018-06-22,1611313.6184244785,1367047.1535750914,1378394.2177917922
2018-06-25,1595021.1284358625,1356582.0653334921,1359996.3024989564
2018-06-26,1594935.6989726305,1358255.7751116366,1361695.8825105901
2018-06-27,1583016.69003175,1348999.368458474,1352414.2348971155
2018-06-28,1593484.3872275488,1356868.9445148944,1357935.5151875182
2018-06-29,1601788.7940480558,1361714.410985737,1361039.8389308965
2018-07-02,1604982.2125826513,1363979.8919126065,1363045.6456284772
2018-07-03,1596939.5062505356,1361239.379561582,1355623.4818039904
2018-07-05,1610762.0203416245,1373255.8847967968,1365824.7951835229
2018-07-06,1619066.4862905173,1380921.8762504323,1371417.8131274648
2018-07-09,1636723.2213520645,1386892.5187255521,1389368.2168899789
2018-07-10,1646580.517340328,1397975.0527867854,1397391.0055877608
2018-07-11,1633715.3572315814,1389162.3052194612,1385098.566988347
2018-07-12,1649142.1457358273,1399036.8830531668,1397684.3085437573
2018-07-13,1651049.913208326,1402556.6697888207,1402984.5711473785
2018-07-16,1653680.5607551823,1401559.8521678858,1405505.1365802782
2018-07-17,1657045.5657711397,1407477.0030984348,1408619.0983595515
2018-07-18,1659600.6468718685,1407224.299643243,1413071.432850654
2018-07-19,1652566.506549789,1402303.8910195706,1405513.0222460106
2018-07-20,1654141.9075605578,1407096.2875754517,1405155.2101633963
2018-07-23,1655316.643991355,1405790.876236891,1404379.6768432278
2018-07-24,1664701.2660940704,1412730.7551671383,1415463.0895534535
2018-07-25,1679117.8738056289,1426638.0755329947,1425117.1158265201
2018-07-26,1684944.6321242582,1430251.6895904513,1431452.043488132
2018-07-27,1676413.0853317038,1429389.5077579725,1427189.7316365573
2018-07-30,1668596.4819763657,1428779.9452752522,1419101.8861964818
2018-07-31,1676134.392028902,1431972.6394653022,1425178.2297359474
2018-08-01,1671149.4240503346,1428630.0564155702,1420615.3864014542
2018-08-02,1675049.6579639725,1431735.3224857876,1420185.836665301
2018-08-03,1684964.2378967411,1440509.270879988,1427835.6990878147
2018-08-06,1689024.1621546708,1446703.3667307433,1430056.280653472
2018-08-07,1698409.5962340173,1450218.3537382816,1437162.7988023865
2018-08-08,1695106.628379306,1447249.2713597226,1434630.404870888
2018-08-09,1691658.0309450503,1444948.106531572,1430451.6591714509
2018-08-10,1681058.8303073258,1440072.7860848005,1419455.7554462296
2018-08-13,1673568.857623394,1436001.4482768213,1412421.5225665302
2018-08-14,1680381.7106405543,1444437.1644001533,1418714.3933442351
2018-08-15,1673521.5634013051,1444365.060403693,1411003.4170122943
2018-08-16,1699645.2868016376,1465081.0165813463,1433227.4135093063
2018-08-17,1706130.784281377,1469580.7637992073,1439428.832469141
2018-08-20,1711174.832858946,1472188.1538113514,1444440.2825653078
2018-08-21,1714486.8107414572,1471162.2220276045,1448006.684415986
2018-08-22,1709575.1207836687,1465065.7902856823,1443033.3483708596
2018-08-23,1707245.9492334723,1465392.7222502967,1438736.8653011103
2018-08-24,1715664.1586106191,1471943.2958427742,1446215.652586482
2018-08-27,1729960.2297087808,1477586.9841301963,1460755.615442806
2018-08-28,1732445.4879142994,1479633.2654090282,1461561.9247639584
2018-08-29,1737800.585674126,1484321.5000392497,1464957.3610006296
2018-08-30,1728770.4801802235,1478378.543512695,1457238.499002956
2018-08-31,1728399.772395413,1476252.2225682107,1455999.2447284597
2018-09-04,1723587.6808778318,1470837.6534805275,1455307.2775604292
2018-09-05,1726072.317068845,1475914.9631391992,1456569.531693312
2018-09-06,1727048.8325308447,1477816.2973793596,1457740.3340083244
2018-09-07,1722584.1851185397,1474797.4397350997,1453291.8328269531
2018-09-10,1724831.048750861,1476453.9171677087,1449957.0724071683
2018-09-11,1727943.2050642122,1478414.1402285486,1456349.1711453416
2018-09-12,1730500.6000526142,1484505.9475658329,1457911.4091454665
2018-09-13,1742766.6286600484,1494697.425417291,1466158.5012240855
2018-09-14,1740654.3109281983,1489749.0392028652,1466645.2220367996
2018-09-17,1737056.0187131003,1486920.5980300459,1461455.358753434
2018-09-18,1747598.3403942236,1487967.4968395105,1471820.518743187
2018-09-19,1752635.902975527,1485923.847341326,1480725.297248527
2018-09-20,1770838.454489056,1502355.4182516856,1494812.710510311
2018-09-21,1776228.4684829852,1508795.5114109837,1499664.3663522587
2018-09-24,1767098.4760555057,1504174.2485884747,1489489.4480483031
2018-09-25,1761841.1712932328,1503505.8637007452,1485573.1197807433
2018-09-26,1755935.2446846361,1501823.5853033378,1479576.83765309
2018-09-27,1760379.5464403986,1508682.8064951147,1482641.4044984
2018-09-28,1762528.7403666996,1512152.7925648056,1483672.1267235244
2018-10-01,1772089.3384027784,1518358.927345015,1494489.1791690062
2018-10-02,1779623.1333083743,1522402.8424115432,1501371.284413949
2018-10-03,1780609.8578043694,1517290.9918285068,1504424.6798994709
2018-10-04,1768143.4737989933,1511564.8515323694,1493158.4730766397
2018-10-05,1758504.5738782543,1507655.1453854507,1483040.725849245
2018-10-08,1760090.3384022184,1510642.8864385416,1485268.5359418239
2018-10-09,1759554.058878998,1516343.183089178,1482116.569634645
2018-10-10,1704840.1856118205,1476054.2127216554,1435470.9949333502
2018-10-11,1668791.1890214744,1443504.7045860298,1404858.6215133448
2018-10-12,1689885.289083742,1461347.6896319794,1420961.3699854696
