,PPO,MinVariance,DJIA
2020-09-04,1086754.64154445,1125498.1144773257,1093193.8050917918
2020-09-08,1062182.6170857172,1107587.230628153,1068619.4650169376
2020-09-09,1077275.5436658098,1122748.408055566,1085700.5055666214
2020-09-10,1061100.8905910505,1110359.1833734286,1069928.5573611115
2020-09-11,1066826.9695935585,1121247.487818578,1075021.2597537776
2020-09-14,1077781.6510546796,1129691.2094312804,1087754.4956647558
2020-09-15,1075950.9499199425,1132416.8733648267,1087842.684273019
2020-09-16,1077702.3590190918,1133778.293100402,1089271.9165198437
2020-09-17,1072462.3966312695,1131768.3682722298,1084204.866235261
2020-09-18,1062442.5573973474,1126969.9920593458,1074701.8227037096
2020-09-21,1043947.1247533136,1106445.9497363125,1054895.2836170685
2020-09-22,1048769.744550182,1114458.9357662923,1060354.0218596943
2020-09-23,1028779.0907723194,1105267.1549418361,1039951.8681451287
2020-09-24,1030659.9582597548,1107707.8589653983,1041984.45618859
2020-09-25,1043878.6692168413,1112483.8609277962,1055915.7517983988
2020-09-28,1060697.8234027307,1118931.0176650123,1071851.2511663928
2020-09-29,1054239.367444221,1115863.6951161902,1066745.3432506307
2020-09-30,1065983.9430941946,1126944.411767811,1079531.0217849389
2020-10-01,1066238.480163166,1126752.1816368927,1080898.8559387475
2020-10-02,1060856.2966151359,1119565.4066032136,1075688.442245379
2020-10-05,1078043.1413897623,1134042.9143325808,1093789.4956135275
2020-10-06,1063115.6348461458,1124955.5639357315,1079183.6558124602
2020-10-07,1082135.5654065262,1138559.6542827603,1099805.446215764
2020-10-08,1089877.3849657923,1136092.6067260779,1104547.9745649484
2020-10-09,1093451.2333074168,1141124.2741173015,1110819.2319470441
2020-10-12,1103846.1058187922,1145892.772016792,1120557.6980800005
2020-10-13,1096328.533614421,1141825.5253638467,1114429.5005314464
2020-10-14,1090962.0630511723,1136418.9720034674,1107986.495455289
2020-10-15,1090840.9510819588,1133936.7418139863,1107217.0840004084
2020-10-16,1094065.816915024,1137047.770896282,1111573.4646397452
2020-10-19,1078366.7920815845,1120963.4069296494,1095607.2282783375
2020-10-20,1081869.7180421057,1125754.8484698571,1100012.4845318927
2020-10-21,1078827.141835692,1123086.9666708126,1096205.6509772656
2020-10-22,1087705.7079583365,1127638.4077326208,1102144.6452552518
2020-10-23,1083207.4071627648,1129094.9292415837,1101053.1404669215
2020-10-26,1058433.359673761,1114773.0060659226,1075788.3185005204
2020-10-27,1048254.273007687,1109364.7784317029,1067154.48678518
2020-10-28,1013927.1855133751,1076330.0527286897,1030502.405644071
2020-10-29,1020466.7150077358,1077087.4009499224,1035909.8396705297
2020-10-30,1015564.2801789218,1072518.4021115648,1029789.3832906872
2020-11-02,1029998.7464846811,1085645.3018366897,1046243.692749978
2020-11-03,1048907.406775161,1097323.5335534126,1067808.8432227394
2020-11-04,1058440.1486875336,1104689.192591036,1082094.107566575
2020-11-05,1077803.8951162328,1115813.9965624837,1103175.1314196202
2020-11-06,1075882.0720053487,1120198.6764221345,1100580.2461312183
2020-11-09,1116264.0045131566,1127543.8501326165,1133009.6715277918
2020-11-10,1126844.0834569028,1144204.2563896945,1143227.2552889448
2020-11-11,1126243.462701424,1148890.3691517015,1142322.2974878012
2020-11-12,1114104.6938914044,1139258.0018978957,1129986.517464494
2020-11-13,1131754.9728921442,1151209.2817884216,1145515.6054751312
2020-11-16,1150989.2683817497,1156771.0177268186,1163803.129936655
2020-11-17,1145648.5155023255,1153615.3419438647,1157310.4144143597
2020-11-18,1131951.141256729,1140838.4570459104,1143907.263834588
