,PPO,MinVariance,DJIA
2021-07-13,1390310.7361730784,1233985.1066098455,1355695.697693701
2021-07-14,1393319.9720613959,1240706.876634491,1357422.5854668664
2021-07-15,1393908.6632046376,1241450.5729645658,1359512.7010189882
2021-07-16,1382308.5135888995,1236193.3354270873,1347887.7424285489
2021-07-19,1356458.119919241,1222154.2624063399,1319684.387998001
2021-07-20,1375605.4205657027,1230739.2599823517,1341054.111907701
2021-07-21,1387416.2738941084,1236266.8098787894,1352167.8497879338
2021-07-22,1387208.307765909,1238483.048902631,1353152.9514533856
2021-07-23,1393996.7753484945,1249774.1975585283,1362408.8088428432
2021-07-26,1398725.6338913513,1250700.5285104609,1365624.5813981993
2021-07-27,1395624.7251854183,1252659.331248655,1362291.0216483301
2021-07-28,1391015.495383253,1244543.506919574,1357333.182557629
2021-07-29,1396931.0750850774,1247085.9940461484,1363301.7754218653
2021-07-30,1392267.98766054,1247903.7429224271,1357509.559774155
2021-08-02,1389560.0915598318,1245192.8307013,1353728.3783276116
2021-08-03,1401116.4341668116,1253696.522596945,1364540.0588404718
2021-08-04,1387609.019318422,1243097.585176285,1351960.811471805
2021-08-05,1398405.7963272221,1249862.4374633734,1362513.694089504
2021-08-06,1402304.9720261907,1249709.5323869959,1368119.3627500273
2021-08-09,1399011.7776211938,1248503.513850329,1363974.8017369057
2021-08-10,1405310.5115881846,1253479.3270632084,1370301.613388579
2021-08-11,1414051.373620213,1258289.384590531,1378861.8281073489
2021-08-12,1416836.0499021693,1261388.2055046954,1379440.138946389
2021-08-13,1417938.9479564151,1266550.8873371533,1380043.4947430254
2021-08-16,1421925.6770621242,1275409.292177839,1384318.593110891
2021-08-17,1412320.7911914585,1272698.1069529797,1373356.1874895883
2021-08-18,1395874.4312114713,1259055.5805108538,1358489.6524480877
2021-08-19,1393992.6777024008,1262324.6850742404,1355902.8877974516
2021-08-20,1402138.6279157177,1268088.703357778,1364683.0427802028
2021-08-23,1411176.0147345706,1268470.0684284398,1373062.023078549
2021-08-24,1412197.4283607183,1261996.6526766485,1374249.1540686104
2021-08-25,1414338.5422895225,1259704.305089288,1375773.8607295444
2021-08-26,1405885.2857015722,1253137.9630334661,1368298.472143746
2021-08-27,1414322.741916236,1254382.2429763125,1377728.429935403
2021-08-30,1413747.0177544558,1257099.0235286094,1375553.920465563
2021-08-31,1413133.1524617744,1256172.128340812,1374034.2227961482
2021-09-01,1411124.9566701208,1258150.0982155544,1372161.3153308155
2021-09-02,1417941.3109998018,1263479.1265993253,1377262.8972993565
2021-09-03,1414880.409829923,1263917.4067688966,1374359.04830679
2021-09-07,1402874.028670478,1246959.129816338,1363902.8544041747
2021-09-08,1400969.0930239742,1248692.9398531015,1361224.4100299743
2021-09-09,1394644.5221083818,1238970.3798632252,1355330.041312796
2021-09-10,1385584.7682869304,1234377.813034773,1344773.9711550393
2021-09-13,1395684.5300268184,1236799.0285722576,1354951.1794087947
2021-09-14,1384229.6180905548,1230738.6178729367,1343602.474290023
2021-09-15,1393411.1803619228,1235142.6911855876,1352804.7506489868
2021-09-16,1389574.6315200396,1232799.0943135098,1350353.9877074794
2021-09-17,1382860.5751920578,1227584.0606514972,1343886.468930402
2021-09-20,1360159.0186664625,1216060.2135481287,1320011.9456858353
2021-09-21,1357722.7949296243,1215922.9330365092,1318044.6263197458
2021-09-22,1371246.69450091,1221057.3847228885,1331197.1755359336
2021-09-23,1390937.3481126102,1233993.3014055677,1350878.565728404
2021-09-24,1391125.9051902827,1233727.7614424103,1352167.8497879338
2021-09-27,1393248.5268052614,1230718.7760442402,1354941.1614257563
2021-09-28,1373815.7042203285,1215729.445622121,1332816.2940976245
2021-09-29,1378294.415059523,1222081.4565904767,1336341.8651890648
2021-09-30,1358919.6351845113,1207281.5875324043,1315094.6338901536
2021-10-01,1379698.2828585608,1220901.2539538317,1333844.9588105315
2021-10-04,1370800.560206418,1217352.1298771347,1321272.9972477108
2021-10-05,1381257.2202975568,1223060.912806778,1333386.8637679531
2021-10-06,1383899.7849341747,1228179.0351743489,1337362.6369456383
2021-10-07,1395921.5987145468,1236854.2191779274,1350494.6948328838
2021-10-08,1395123.4533932703,1231661.4723452865,1350156.967374389
2021-10-11,1385785.3707800882,1225957.6772912238,1340435.1219860197
2021-10-12,1379147.207392884,1220892.706896185,1335860.8502155952
2021-10-13,1379193.6268773857,1223114.6447888312,1335840.2070990312
2021-10-14,1397648.3821396986,1236407.227309356,1356619.3253723255
2021-10-15,1409182.893034143,1243057.1397327764,1371470.8334392684
2021-10-18,1405068.3176332659,1239389.2937747608,1370066.0389995526
2021-10-19,1415529.4250335335,1249840.5125879045,1377787.019957416
2021-10-20,1424524.5778973852,1255886.3945463332,1383694.5941976905
2021-10-21,1420981.864613615,1257624.0652124062,1383451.2786399527
2021-10-22,1418348.2719847993,1256931.411110631,1386324.4665329163
2021-10-25,1419544.0805647664,1259835.3284168257,1388816.3639199305
2021-10-26,1420277.6091289045,1264193.4811427942,1389427.6126729003
2021-10-27,1412651.628636999,1261621.501239914,1379084.196973279
2021-10-28,1426007.1725619747,1276020.4982842142,1388401.8319248075
2021-10-29,1429360.337448677,1282346.7960117976,1391863.1968522284
