,A2C,MinVariance,DJIA
2020-08-13,1072492.550499138,1071453.7335787376,1084000.4842025135
2020-08-14,1073625.94749978,1072490.08552403,1085333.2554156873
2020-08-17,1069751.7161830722,1079074.511830299,1081987.2490808312
2020-08-18,1068979.15818281,1083862.9704892733,1079390.0110842912
2020-08-19,1065429.056176549,1079510.4436173486,1076079.7507343676
2020-08-20,1066089.8659814224,1079294.9345062512,1077900.21557637
2020-08-21,1070248.1887554955,1082126.1775679954,1085306.4649004408
2020-08-24,1084328.712353684,1088247.6762321154,1099999.734371662
2020-08-25,1087083.8805655441,1095352.0379426386,1097667.4416689656
2020-08-26,1099547.2328733874,1111423.1736636895,1100911.2949343538
2020-08-27,1108210.598414297,1117764.965632971,1107142.1009152413
2020-08-28,1114498.2364549267,1128155.430459037,1113421.4789351036
2020-08-31,1107952.984965201,1123426.135430913,1104724.4276752851
2020-09-01,1116324.691180888,1129579.7140739076,1113102.4972479006
2020-09-02,1135012.0423376854,1153177.1693252516,1130776.4961421278
2020-09-03,1105223.7170464755,1130061.5689789203,1099388.485618692
2020-09-04,1102081.5940296876,1125508.7126210234,1093193.8050917918
2020-09-08,1078002.709783912,1107597.6161722718,1068619.4650169376
2020-09-09,1093621.3919323424,1122759.0574736188,1085700.5055666214
2020-09-10,1078351.831030817,1110369.6027649855,1069928.5573611115
2020-09-11,1085109.458267754,1121258.124479876,1075021.2597537776
2020-09-14,1096745.6395514267,1129701.8792907938,1087754.4956647558
2020-09-15,1095268.350847173,1132427.6186422189,1087842.684273019
2020-09-16,1097283.836735177,1133788.9646376965,1089271.9165198437
2020-09-17,1091310.5410231696,1131779.0822469161,1084204.866235261
2020-09-18,1081032.470376378,1126980.692724391,1074701.8227037096
2020-09-21,1062762.6636185166,1106456.3460368684,1054895.2836170685
2020-09-22,1069017.8654616943,1114469.4525772997,1060354.0218596943
2020-09-23,1050441.2760843486,1105277.5812257242,1039951.8681451287
2020-09-24,1051971.2913207458,1107718.3788923582,1041984.45618859
2020-09-25,1065218.763737517,1112494.3506851592,1055915.7517983988
2020-09-28,1081737.4507139546,1118941.5256609165,1071851.2511663928
2020-09-29,1076270.339855067,1115874.0578668397,1066745.3432506307
2020-09-30,1087264.0719456328,1126955.0496947172,1079531.0217849389
2020-10-01,1087333.1863609857,1126774.135067365,1080898.8559387475
2020-10-02,1082182.645902258,1119587.2595907007,1075688.442245379
2020-10-05,1099250.006487407,1134065.1402293337,1093789.4956135275
2020-10-06,1086018.7083854645,1124977.5849572374,1079183.6558124602
2020-10-07,1105938.672280377,1138593.4036228014,1099805.446215764
2020-10-08,1114742.8645585377,1136126.2011729467,1104547.9745649484
2020-10-09,1119574.4260238954,1141169.5952140607,1110819.2319470441
2020-10-12,1130440.282560866,1145938.3831614852,1120557.6980800005
2020-10-13,1122802.1740781032,1141870.8588702756,1114429.5005314464
2020-10-14,1117148.5380798662,1136452.907114694,1107986.495455289
2020-10-15,1117173.7673728822,1133970.761539658,1107217.0840004084
2020-10-16,1120258.8125898468,1137081.898259444,1111573.4646397452
2020-10-19,1104699.5974901658,1120996.976784644,1095607.2282783375
2020-10-20,1108177.2321657198,1125788.5006326472,1100012.4845318927
2020-10-21,1104960.7593979049,1123120.6549117914,1096205.6509772656
2020-10-22,1113522.0602970223,1127672.087799198,1102144.6452552518
2020-10-23,1109452.2179231013,1129128.7169776263,1101053.1404669215
2020-10-26,1085274.7751606363,1114817.5032281608,1075788.3185005204
2020-10-27,1076212.6128996897,1109409.1591488426,1067154.48678518
2020-10-28,1040033.8167768441,1076372.9609789485,1030502.405644071
2020-10-29,1047332.8412388904,1077141.2335782312,1035909.8396705297
2020-10-30,1041600.2456160196,1072572.0679326016,1029789.3832906872
2020-11-02,1056548.0417415868,1085699.6233192775,1046243.692749978
2020-11-03,1076321.134136872,1097378.4631114965,1067808.8432227394
2020-11-04,1086810.044011641,1104744.4280329845,1082094.107566575
2020-11-05,1107528.6126617836,1115869.6965166419,1103175.1314196202
2020-11-06,1105215.683219472,1120254.5642805973,1100580.2461312183
2020-11-09,1144060.5906629746,1127611.4445085276,1133009.6715277918
2020-11-10,1154661.771573635,1144272.8240535571,1143227.2552889448
2020-11-11,1154270.9061682317,1148959.0809033075,1142322.2974878012
2020-11-12,1141994.625831851,1139326.3631776837,1129986.517464494
2020-11-13,1160209.4442796356,1151278.3348958497,1145515.6054751312
2020-11-16,1179548.250604078,1156840.3462456756,1163803.129936655
2020-11-17,1175062.3971372882,1153684.4196562306,1157310.4144143597
2020-11-18,1161723.7182778458,1140906.8404331869,1143907.263834588
2020-11-19,1164660.9881346596,1144311.344655695,1145648.495538013
2020-11-20,1158219.5341974932,1140525.3347178253,1137109.5310862947
2020-11-23,1171080.6266651836,1142217.5253700004,1149846.6375816285
2020-11-24,1190560.1466017447,1147052.1369096674,1167525.721361186
2020-11-25,1184457.2558635834,1145432.5914072327,1160773.4490056203
2020-11-27,1184795.400459463,1145863.856686938,1162246.0925122786
2020-11-30,1177054.70924232,1142688.468367265,1151687.3660711406
2020-12-01,1186838.9198778959,1147634.7966391079,1158886.880654326
2020-12-02,1192388.8244143678,1144735.2959751962,1161213.2536397723
2020-12-03,1196073.923875152,1146759.0116808435,1164544.5365753146
2020-12-04,1206837.4537554276,1152159.4771987267,1174209.992862187
2020-12-07,1200609.544672493,1146612.3420626544,1168440.773039179
2020-12-08,1205472.6809109044,1154284.8247195538,1172485.5336909704
2020-12-09,1202043.789250459,1155616.429658142,1168402.7502399192
2020-12-10,1200075.83527858,1147580.5387045878,1165700.1716338533
2020-12-11,1203755.908630013,1148880.1236717212,1167530.730352705
2020-12-14,1194607.2900714944,1142537.1637063255,1160349.1267088915
2020-12-15,1210334.2205748428,1152066.1555538122,1173473.6711088577
2020-12-16,1207934.382714635,1146454.6170665757,1171733.9572816507
2020-12-17,1212887.8494475067,1155590.0208727447,1177517.1415658637
2020-12-18,1205991.6624445964,1155197.3841927599,1172686.4246084164
2020-12-21,1207501.965559334,1150185.1675724972,1174139.639299485
2020-12-22,1201243.4010421822,1142662.3167134738,1166331.608140522
2020-12-23,1206133.2326308885,1141985.3366696911,1170773.8246799845
2020-12-24,1208835.9123731954,1144584.625914386,1173495.3767387746
2020-12-28,1217648.7369336314,1151892.7402259323,1181426.279977581
2020-12-29,1215420.8635528733,1152260.4398872182,1178772.2734104895
2020-12-30,1216716.769383902,1150925.7955236984,1181643.4880643701
2020-12-31,1224592.9253191059,1160236.531456376,1189295.3297605058
2021-01-04,1208634.9034118059,1147936.846354975,1174428.794719005
2021-01-05,1216421.7674976904,1149734.9981482415,1180945.568579355
2021-01-06,1231768.2043400728,1156691.288701066,1197957.469867311
2021-01-07,1240798.0259034743,1156576.163422794,1206184.8143314838
2021-01-08,1242966.3670188792,1159617.1874504217,1208393.4760162276
2021-01-11,1239234.3276508555,1156630.4638600363,1204924.2181324733
2021-01-12,1241814.3031620698,1150643.3333123093,1207255.6760032498
2021-01-13,1242808.7576449697,1147861.006638662,1206936.3148469925
2021-01-14,1242409.1953539194,1144518.8903735802,1204257.0356408719
2021-01-15,1234309.077991171,1144078.2085189943,1197369.1410452323
2021-01-19,1239415.492146304,1145299.73653617,1201886.720138916
2021-01-20,1250048.7893880745,1153252.5637099773,1211906.6005226807
2021-01-21,1251812.5525574202,1150226.8297625538,1211425.889124455
2021-01-22,1240621.8005164214,1149279.165475096,1204469.234736142
2021-01-25,1239639.3078709708,1157063.799626863,1203032.2613206054
2021-01-26,1237360.4886981754,1162199.6351945512,1202140.0536796926
2021-01-27,1213213.1871204777,1140266.0663659724,1177509.4003971522
2021-01-28,1225419.4128316035,1145163.4339599374,1189174.0514506912
2021-01-29,1201511.915548581,1123680.1305516905,1165053.5563650052
2021-02-01,1211399.1957746374,1123983.8342551598,1173963.2620829588
2021-02-02,1229098.0452018608,1130540.4816515795,1192442.7978860538
2021-02-03,1229592.229449379,1127605.4156584085,1193846.3021309844
2021-02-04,1243738.2122409595,1133141.1159224715,1206757.1295594631
2021-02-05,1249628.1848709946,1142816.2126066284,1210346.8309211119
2021-02-08,1259983.5235364852,1142401.868825897,1219576.2772643773
2021-02-09,1258677.7231005013,1143726.8077299527,1219190.4331297735
2021-02-10,1259388.0777067638,1142365.5027807027,1221598.4678557457
2021-02-11,1260784.9424108362,1141281.698316249,1221322.5179593216
2021-02-12,1261812.4655215852,1142667.3143283972,1222398.9198792833
2021-02-16,1264003.9456061167,1138497.7850643117,1224899.3932669288
2021-02-17,1269029.1559646353,1150031.3015869346,1228407.0534189972
2021-02-18,1264917.232677228,1146762.4707739197,1223756.5842624316
2021-02-19,1263580.2000577014,1133252.0935518136,1223794.6829555025
2021-02-22,1263041.839694826,1129979.6441343485,1224858.1829276113
2021-02-23,1264240.975690248,1127518.3639151226,1225466.699503389
2021-02-24,1278165.7561444708,1128887.4880165022,1241962.1434081863
2021-02-25,1258252.6351333025,1121833.395410416,1220207.713771046
2021-02-26,1239491.7387349312,1099072.2109751329,1201958.591577836
2021-03-01,1264285.842865589,1108417.2758474685,1225395.2075335232
2021-03-02,1257608.805803132,1106405.6835311493,1219800.0881127145
2021-03-03,1252095.3705056808,1098565.3768240353,1215081.6181015847
2021-03-04,1238469.9036104307,1089165.5274858295,1201638.8509525242
2021-03-05,1263050.1522084633,1109410.7630314382,1223871.6392797527
2021-03-08,1273685.9993028454,1118689.3423021515,1235767.4628812857
2021-03-09,1276600.1986507324,1115951.182132697,1236944.8794635523
2021-03-10,1292955.187773422,1130913.717463718,1254985.6731458479
2021-03-11,1299194.036491429,1128275.2591719495,1262313.0688003958
