date,size,price,sid,symbol,value
2015-08-14 00:00:00,-8,50.65752371025086,15,JPM,405.26018968200685
2015-08-14 00:00:00,-110,29.314698187828064,16,KO,3224.616800661087
2015-08-14 00:00:00,-15,76.15123638916016,17,MCD,1142.2685458374024
2015-08-14 00:00:00,-20,87.00129265594482,18,MMM,1740.0258531188965
2015-08-14 00:00:00,21,40.33453783607483,19,MRK,-847.0252945575714
2015-08-14 00:00:00,-6,40.26497554397583,20,MSFT,241.589853263855
2015-08-14 00:00:00,-19,49.394144332885745,21,NKE,938.4887423248291
2015-08-14 00:00:00,-17,56.19356503486634,22,PG,955.2906055927277
2015-08-14 00:00:00,70,84.64426020812988,23,TRV,-5925.098214569091
2015-08-14 00:00:00,121,27.021557713684466,25,VZ,-3269.60848335582
2015-08-14 00:00:00,11,19.79873757648468,26,WMT,-217.7861133413315
2015-08-17 00:00:00,24,25.998647658348084,0,AAPL,-623.967543800354
2015-08-17 00:00:00,2,122.24973873138427,1,AMGN,-244.49947746276854
2015-08-17 00:00:00,8,69.47649334716796,2,AXP,-555.8119467773437
2015-08-17 00:00:00,3,129.11698384006215,3,BA,-387.3509515201864
2015-08-17 00:00:00,25,60.527578376770016,4,CAT,-1513.1894594192504
2015-08-17 00:00:00,-1,71.89792435073853,5,CRM,71.89792435073853
2015-08-17 00:00:00,11,20.886706773503946,6,CSCO,-229.75377450854342
2015-08-17 00:00:00,11,53.90205853751785,7,CVX,-592.9226439126963
2015-08-17 00:00:00,-11,98.09513108444214,8,DIS,1079.0464419288635
2015-08-17 00:00:00,-58,162.5761572189331,9,GS,9429.41711869812
2015-08-17 00:00:00,-23,92.8121370010376,10,HD,2134.679151023865
2015-08-17 00:00:00,-13,75.7788106956482,11,HON,985.1245390434267
2015-08-17 00:00:00,40,95.27676343917847,12,IBM,-3811.0705375671387
2015-08-17 00:00:00,65,22.785871876716612,13,INTC,-1481.0816719865797
2015-08-17 00:00:00,6,73.44138068389893,14,JNJ,-440.64828410339356
2015-08-17 00:00:00,9,50.96343819236755,15,JPM,-458.67094373130794
2015-08-17 00:00:00,160,29.451121476173398,16,KO,-4712.179436187744
2015-08-17 00:00:00,8,76.15072723388671,17,MCD,-609.2058178710937
2015-08-17 00:00:00,-18,87.52070902633668,18,MMM,1575.3727624740602
2015-08-17 00:00:00,37,40.47130586242675,19,MRK,-1497.4383169097898
2015-08-17 00:00:00,11,40.5381575088501,20,MSFT,-445.91973259735107
2015-08-17 00:00:00,20,49.774333042144775,21,NKE,-995.4866608428955
2015-08-17 00:00:00,12,56.13102924156188,22,PG,-673.5723508987426
2015-08-17 00:00:00,-78,85.16054631423951,23,TRV,6642.522612510682
2015-08-17 00:00:00,56,101.47969245529174,24,UNH,-5682.862777496337
2015-08-17 00:00:00,-187,26.928661883354188,25,VZ,5035.659772187233
2015-08-17 00:00:00,69,19.821771195177103,26,WMT,-1367.70221246722
2015-08-18 00:00:00,26,26.2677030172348,0,AAPL,-682.9602784481049
2015-08-18 00:00:00,-3,123.63489082717896,1,AMGN,370.90467248153686
2015-08-18 00:00:00,1,69.55377195739746,2,AXP,-69.55377195739746
2015-08-18 00:00:00,2,128.80700131988525,3,BA,-257.6140026397705
2015-08-18 00:00:00,10,60.56612989997863,4,CAT,-605.6612989997863
2015-08-18 00:00:00,-5,72.93222749710084,5,CRM,364.6611374855042
2015-08-18 00:00:00,18,20.70646204772293,6,CSCO,-372.71631685901275
2015-08-18 00:00:00,16,53.112194223403925,7,CVX,-849.7951075744628
2015-08-18 00:00:00,-9,99.82525313949586,8,DIS,898.4272782554627
2015-08-18 00:00:00,1,92.86620359802245,10,HD,-92.86620359802245
2015-08-18 00:00:00,7,22.798033321317092,13,INTC,-159.58623324921965
2015-08-18 00:00:00,-2,74.1550502281189,14,JNJ,148.3101004562378
2015-08-18 00:00:00,17,29.52252060699463,16,KO,-501.8828503189087
2015-08-18 00:00:00,-3,77.13984706115723,17,MCD,231.41954118347167
2015-08-18 00:00:00,-1,88.08733536148071,18,MMM,88.08733536148071
2015-08-18 00:00:00,-13,40.79292875099183,19,MRK,530.3080737628937
2015-08-18 00:00:00,-2,49.99418977165222,21,NKE,99.98837954330445
2015-08-18 00:00:00,4,56.06420049476623,22,PG,-224.25680197906493
2015-08-18 00:00:00,-11,103.77571620820488,24,UNH,1141.5328782902536
2015-08-18 00:00:00,-2,26.945680271148685,25,VZ,53.89136054229737
2015-08-18 00:00:00,2,19.347011038080264,26,WMT,-38.69402207616053
2015-08-19 00:00:00,-28,26.093618950843812,0,AAPL,730.6213306236267
2015-08-19 00:00:00,10,122.18869370664719,1,AMGN,-1221.8869370664718
2015-08-19 00:00:00,1,69.75986097335814,2,AXP,-69.75986097335814
2015-08-19 00:00:00,1,128.77829483261624,3,BA,-128.77829483261624
2015-08-19 00:00:00,11,71.56558821487427,5,CRM,-787.221470363617
2015-08-19 00:00:00,42,20.360389740962898,6,CSCO,-855.1363691204417
2015-08-19 00:00:00,1,52.88154078504154,7,CVX,-52.88154078504154
2015-08-19 00:00:00,16,97.99166696548461,8,DIS,-1567.8666714477538
2015-08-19 00:00:00,2,162.0621001739502,9,GS,-324.1242003479004
2015-08-19 00:00:00,-7,95.17602099609375,10,HD,666.2321469726563
2015-08-19 00:00:00,-20,95.34046662521362,12,IBM,1906.8093325042723
